time,pump,command
2023-11-17-21-18-35,2,0
2023-11-17-21-18-35,3,0
2023-11-17-21-18-36,4,0
2023-11-17-21-25-35,1,0
2023-11-17-21-25-35,2,0
2023-11-17-21-25-35,3,0
2023-11-17-21-25-36,4,0
2023-11-17-21-59-35,1,0
2023-11-17-21-59-36,2,0
2023-11-17-21-59-36,3,0
2023-11-17-21-59-36,4,0
2023-11-17-22-18-05,1,0
2023-11-17-22-18-06,2,0
2023-11-17-22-18-06,3,0
2023-11-17-22-18-06,4,0
2023-11-17-22-21-32,1,0
2023-11-17-22-21-32,2,0
2023-11-17-22-21-32,3,0
2023-11-17-22-21-33,4,0
2023-11-18-00-08-06,1,0
2023-11-18-00-08-06,2,0
2023-11-18-00-08-06,3,0
2023-11-18-00-08-07,4,0
2023-11-18-00-09-01,1,0
2023-11-18-00-09-01,2,0
2023-11-18-00-09-01,3,0
2023-11-18-00-09-01,4,0
2023-11-18-00-44-33,1,0
2023-11-18-00-44-33,2,0
2023-11-18-00-44-33,3,0
2023-11-18-00-44-34,4,0
2023-11-18-00-53-35,1,0
2023-11-18-00-53-36,2,0
2023-11-18-00-53-36,3,0
2023-11-18-00-53-36,4,0
2023-11-18-00-54-24,1,0
2023-11-18-00-54-24,2,0
2023-11-18-00-54-25,3,0
2023-11-18-00-54-25,4,0
2023-11-18-00-57-32,1,0
2023-11-18-09-22-32,1,1
2023-11-18-09-49-32,1,0
2023-11-18-11-15-02,1,1
2023-11-18-00-57-32,2,0
2023-11-18-00-57-33,3,0
2023-11-18-00-57-33,4,0
2023-11-18-16-52-36,1,1
2023-11-18-17-00-38,1,1
2023-11-18-16-55-36,2,0
2023-11-18-16-55-36,3,0
2023-11-18-16-55-36,4,0
2023-11-18-17-03-39,2,0
2023-11-18-17-03-39,3,0
2023-11-18-17-03-40,4,0
2023-11-18-17-03-05,1,1
2023-11-18-17-06-06,2,0
2023-11-18-17-06-06,3,0
2023-11-18-17-06-06,4,0
2023-11-18-18-05-36,1,1
2023-11-18-18-08-36,2,0
2023-11-18-18-08-36,3,0
2023-11-18-18-08-36,4,0
2023-11-18-22-26-31,1,1
2023-11-18-22-29-31,3,0
2023-11-19-00-00-00,3,1
2023-11-18-22-29-31,2,0
2023-11-18-23-03-30,1,0
2023-11-19-11-58-01,2,1
2023-11-19-12-40-00,2,1
2023-11-19-12-42-31,2,0
2023-11-19-00-32-01,3,0
2023-11-19-14-00-01,3,1
2023-11-19-12-00-01,1,1
2023-11-19-12-43-30,2,0
2023-11-19-14-44-01,3,0
2023-11-20-09-00-01,3,1
2023-11-19-23-03-01,1,0
2023-11-20-09-37-31,3,0
2023-11-20-05-00-06,2,1
2023-11-20-12-12-30,2,0
2023-11-20-11-14-32,3,1
2023-11-20-13-14-02,3,1
2023-11-20-13-16-31,3,0
2023-11-20-10-46-02,1,1
2023-11-20-14-25-01,1,1
2023-11-20-14-27-30,1,0
2023-11-20-14-30-02,1,0
2023-11-20-13-10-02,2,1
2023-11-20-16-04-02,2,0
2023-11-18-22-29-31,4,0
2023-11-20-17-38-02,2,1
2023-11-20-15-16-31,1,1
2023-11-20-22-22-31,1,1
2023-11-20-22-25-01,1,0
2023-11-20-18-00-02,4,1
2023-11-20-22-28-30,1,0
2023-11-20-19-03-02,2,0
2023-11-21-07-00-03,1,1
