time,command
2023-12-06-13-59-40,1
2023-12-06-14-12-38,1
2023-12-06-14-14-36,1
2023-12-06-22-39-03,0
2023-12-07-05-56-32,1
2023-12-07-06-53-32,0
2023-12-07-07-00-02,1
2023-12-07-14-58-36,1
2023-12-07-15-05-02,0
2023-12-07-15-16-32,1
2023-12-07-23-00-03,0
2023-12-08-07-00-02,1
2023-12-08-07-56-03,0
2023-12-08-08-00-03,1
2023-12-08-19-24-02,0
2023-12-08-19-39-03,1
2023-12-08-19-41-36,1
2023-12-08-19-49-32,0
2023-12-08-19-53-32,1
2023-12-08-19-55-02,0
2023-12-08-20-40-33,1
2023-12-08-20-53-33,0
2023-12-08-20-54-33,1
2023-12-08-20-55-33,0
2023-12-08-20-57-33,1
2023-12-08-20-58-33,0
2023-12-08-20-59-03,1
2023-12-08-21-00-03,0
2023-12-08-21-00-33,1
2023-12-08-21-07-03,0
2023-12-08-21-42-33,1
2023-12-08-21-48-03,0
2023-12-08-21-51-33,1
2023-12-08-21-53-02,0
2023-12-08-22-31-03,1
2023-12-08-23-00-03,0
2023-12-09-08-13-02,1
2023-12-09-08-54-32,0
2023-12-09-11-00-02,1
2023-12-09-11-37-33,0
2023-12-09-12-23-02,1
2023-12-09-13-39-32,0
2023-12-09-14-00-02,1
2023-12-09-14-57-05,0
2023-12-09-14-57-32,1
2023-12-09-14-58-33,0
2023-12-09-14-59-02,1
2023-12-09-15-01-33,0
2023-12-09-15-02-02,1
2023-12-09-15-03-02,0
2023-12-09-15-06-32,1
2023-12-09-15-08-02,0
2023-12-09-15-09-33,1
2023-12-09-15-11-04,0
2023-12-09-15-13-32,1
2023-12-09-15-16-02,0
2023-12-09-15-22-32,1
2023-12-09-15-25-03,0
2023-12-09-15-27-03,1
2023-12-09-15-28-32,0
2023-12-09-15-29-02,1
2023-12-09-15-33-03,0
2023-12-09-15-34-03,1
2023-12-09-15-35-02,0
2023-12-09-15-36-02,1
2023-12-09-15-39-02,0
2023-12-09-15-42-02,1
2023-12-09-15-46-02,0
2023-12-09-15-52-32,1
2023-12-09-15-53-32,0
2023-12-09-15-54-33,1
2023-12-09-15-57-32,0
2023-12-09-16-02-33,1
2023-12-09-16-05-32,0
2023-12-09-16-08-32,1
2023-12-09-16-10-02,0
2023-12-09-16-10-33,1
2023-12-09-16-11-32,0
2023-12-09-16-14-02,1
2023-12-09-16-19-02,0
2023-12-09-16-19-33,1
2023-12-09-16-31-32,0
2023-12-09-16-37-02,1
2023-12-09-16-38-02,0
2023-12-09-16-39-32,1
2023-12-09-16-46-03,0
2023-12-09-16-47-32,1
2023-12-09-16-49-03,0
2023-12-09-16-51-32,1
2023-12-09-16-53-03,0
2023-12-09-16-54-33,1
