timestamp,temp,humidity,wind speed,coco
2024-08-13-21-00-00,29.0,47,9.3,2
2024-08-13-22-00-00,27.4,51,9.3,2
2024-08-13-23-00-00,25.8,55,9.3,2
2024-08-14-00-00-00,24.5,59,9.3,2
2024-08-14-01-00-00,23.9,60,11.1,2
2024-08-14-02-00-00,23.0,61,11.1,2
2024-08-14-03-00-00,22.6,62,11.1,2
2024-08-14-04-00-00,22.1,64,11.1,2
2024-08-14-05-00-00,21.8,64,11.1,2
2024-08-14-06-00-00,21.3,66,11.1,2
2024-08-14-07-00-00,23.0,58,11.1,2
2024-08-14-08-00-00,24.5,52,13.0,2
2024-08-14-09-00-00,25.6,48,14.8,2
2024-08-14-10-00-00,27.7,43,14.8,1
2024-08-14-11-00-00,29.8,37,14.8,2
2024-08-14-12-00-00,30.5,37,13.0,2
2024-08-14-13-00-00,31.9,34,13.0,2
2024-08-14-14-00-00,33.3,32,11.1,2
2024-08-14-15-00-00,34.1,30,13.0,2
2024-08-14-16-00-00,34.6,30,13.0,2
2024-08-14-17-00-00,34.5,30,13.0,2
2024-08-14-18-00-00,34.3,30,11.1,2
2024-08-14-19-00-00,33.0,34,11.1,2
2024-08-14-20-00-00,31.2,38,9.3,2
2024-08-14-21-00-00,29.3,44,7.4,2
2024-08-14-22-00-00,27.9,47,7.4,2
2024-08-14-23-00-00,26.4,53,7.4,2
2024-08-15-00-00-00,25.8,57,5.5,2
2024-08-15-01-00-00,25.3,59,7.4,2
2024-08-15-02-00-00,24.8,60,7.4,2
2024-08-15-03-00-00,23.9,62,7.4,2
2024-08-15-04-00-00,23.0,66,7.4,2
2024-08-15-05-00-00,22.2,68,9.3,2
2024-08-15-06-00-00,22.3,66,9.3,2
2024-08-15-07-00-00,23.5,60,7.4,2
2024-08-15-08-00-00,25.1,54,9.3,2
2024-08-15-09-00-00,26.1,51,9.3,2
2024-08-15-10-00-00,27.8,46,11.1,2
2024-08-15-11-00-00,29.8,41,9.3,2
2024-08-15-12-00-00,30.5,39,5.5,2
2024-08-15-13-00-00,31.7,36,9.3,2
2024-08-15-14-00-00,32.9,33,7.4,2
2024-08-15-15-00-00,33.6,32,9.3,2
2024-08-15-16-00-00,34.3,31,9.3,2
2024-08-15-17-00-00,34.2,31,9.3,2
2024-08-15-18-00-00,33.5,34,11.1,2
2024-08-15-19-00-00,32.3,38,11.1,2
2024-08-15-20-00-00,30.7,42,9.3,2
2024-08-15-21-00-00,29.1,47,7.4,2
2024-08-15-22-00-00,27.8,52,7.4,2
2024-08-15-23-00-00,26.9,56,5.5,2
2024-08-16-00-00-00,25.8,59,5.5,2
2024-08-16-01-00-00,25.1,62,5.5,2
2024-08-16-02-00-00,24.3,65,5.5,2
2024-08-16-03-00-00,23.7,67,5.5,2
2024-08-16-04-00-00,23.2,69,5.5,2
2024-08-16-05-00-00,22.8,71,5.5,2
2024-08-16-06-00-00,21.5,77,5.5,2
2024-08-16-07-00-00,23.2,70,5.5,2
2024-08-16-08-00-00,25.2,64,5.5,2
2024-08-16-09-00-00,26.3,60,7.4,2
2024-08-16-10-00-00,28.5,52,7.4,2
2024-08-16-11-00-00,30.3,46,7.4,2
2024-08-16-12-00-00,30.5,44,9.3,2
2024-08-16-13-00-00,31.6,40,11.1,2
2024-08-16-14-00-00,32.8,36,11.1,2
2024-08-16-15-00-00,33.4,34,11.1,2
2024-08-16-16-00-00,33.8,32,11.1,2
2024-08-16-17-00-00,33.9,32,11.1,2
2024-08-16-18-00-00,33.9,32,11.1,2
2024-08-16-19-00-00,32.6,35,9.3,2
2024-08-16-20-00-00,31.1,40,9.3,2
2024-08-16-21-00-00,29.3,46,7.4,2
2024-08-16-22-00-00,27.7,51,5.5,2
2024-08-16-23-00-00,26.6,56,5.5,2
2024-08-17-00-00-00,24.6,62,7.4,2
2024-08-17-01-00-00,24.1,64,7.4,2
2024-08-17-02-00-00,23.9,64,7.4,2
2024-08-17-03-00-00,23.1,67,7.4,2
2024-08-17-04-00-00,22.5,69,7.4,2
2024-08-17-05-00-00,22.0,72,7.4,2
2024-08-17-06-00-00,21.4,73,7.4,2
2024-08-17-07-00-00,22.7,68,7.4,2
2024-08-17-08-00-00,24.5,62,9.3,2
2024-08-17-09-00-00,25.6,58,9.3,3
2024-08-17-10-00-00,27.2,53,9.3,3
2024-08-17-11-00-00,29.1,48,7.4,3
2024-08-17-12-00-00,28.9,49,5.5,3
2024-08-17-13-00-00,30.1,46,9.3,3
2024-08-17-14-00-00,31.5,41,7.4,3
2024-08-17-15-00-00,32.0,39,7.4,3
2024-08-17-16-00-00,32.2,39,9.3,3
2024-08-17-17-00-00,31.7,40,9.3,3
2024-08-17-18-00-00,30.9,44,9.3,3
2024-08-17-19-00-00,29.3,50,9.3,3
2024-08-17-20-00-00,27.6,56,7.4,3
2024-08-17-21-00-00,26.2,61,7.4,3
2024-08-17-22-00-00,25.1,66,7.4,3
2024-08-17-23-00-00,24.3,70,7.4,3
2024-08-18-00-00-00,23.2,76,7.4,3
2024-08-18-01-00-00,22.9,78,9.3,2
2024-08-18-02-00-00,22.8,77,9.3,2
2024-08-18-03-00-00,22.2,79,9.3,2
2024-08-18-04-00-00,21.6,82,9.3,2
2024-08-18-05-00-00,21.1,84,9.3,2
2024-08-18-06-00-00,21.4,82,9.3,2
2024-08-18-07-00-00,22.3,78,11.1,2
2024-08-18-08-00-00,23.6,73,11.1,2
2024-08-18-09-00-00,25.4,65,11.1,2
2024-08-18-10-00-00,27.0,58,11.1,2
2024-08-18-11-00-00,29.3,50,13.0,2
2024-08-18-12-00-00,27.0,61,11.1,3
2024-08-18-13-00-00,28.4,55,13.0,2
2024-08-18-14-00-00,30.1,49,13.0,2
2024-08-18-15-00-00,30.8,46,14.8,2
2024-08-18-16-00-00,31.3,45,14.8,2
2024-08-18-17-00-00,31.3,45,14.8,2
2024-08-18-18-00-00,30.8,48,13.0,2
2024-08-18-19-00-00,29.3,53,11.1,2
2024-08-18-20-00-00,27.6,58,9.3,2
2024-08-18-21-00-00,26.1,64,9.3,2
2024-08-18-22-00-00,25.0,68,9.3,2
2024-08-18-23-00-00,24.1,71,7.4,2
2024-08-19-00-00-00,23.5,76,5.5,2
2024-08-19-01-00-00,23.4,76,9.3,2
2024-08-19-02-00-00,23.1,76,9.3,2
